trip_id,stop_id,stop_sequence,arrival_time,departure_time,pickup_type,drop_off_type
TI_505_20260329,TI:GENOVA_PIAZZA_PRINCIPE,0,08:53:00,08:53:00,0,0
TI_505_20260329,TI:ROMA_TERMINI,1,14:48:00,14:48:00,0,0
TI_561_20260329,TI:ROMA_TERMINI,0,15:49:00,15:49:00,0,0
TI_561_20260329,TI:SALERNO,1,19:32:00,19:32:00,0,0
TI_9611_20260329,TI:TORINO_PORTA_NUOVA,0,06:40:00,06:40:00,0,0
TI_9611_20260329,TI:NAPOLI_CENTRALE,1,12:33:00,12:33:00,0,0
TI_9519_20260329,TI:TORINO_PORTA_NUOVA,0,06:50:00,06:50:00,0,0
TI_9519_20260329,TI:SALERNO,1,14:06:00,14:06:00,0,0
TI_9583_20260329,TI:TORINO_PORTA_NUOVA,0,07:50:00,07:50:00,0,0
TI_9583_20260329,TI:SALERNO,1,15:03:00,15:03:00,0,0
TI_9311_20260329,TI:TORINO_PORTA_NUOVA,0,08:35:00,08:35:00,0,0
TI_9311_20260329,TI:BOLOGNA_CENTRALE,1,11:09:00,11:09:00,0,0
TI_9527_20260329,TI:BOLOGNA_CENTRALE,0,11:27:00,11:27:00,0,0
TI_9527_20260329,TI:SALERNO,1,16:06:00,16:06:00,0,0
TI_9805_20260329,TI:TORINO_PORTA_NUOVA,0,09:00:00,09:00:00,0,0
TI_9805_20260329,TI:BOLOGNA_CENTRALE,1,11:42:00,11:42:00,0,0
TI_9623_20260329,TI:BOLOGNA_CENTRALE,0,12:07:00,12:07:00,0,0
TI_9623_20260329,TI:SALERNO,1,16:14:00,16:14:00,0,0
TI_9587_20260329,TI:TORINO_PORTA_NUOVA,0,09:50:00,09:50:00,0,0
TI_9587_20260329,TI:SALERNO,1,17:08:00,17:08:00,0,0
TI_511_20260329,TI:TORINO_PORTA_NUOVA,0,10:40:00,10:40:00,0,0
TI_511_20260329,TI:CASERTA,1,21:08:00,21:08:00,0,0
TI_37261_20260329,TI:MILANO_CENTRALE,0,13:48:00,13:48:00,0,0
TI_37261_20260329,TI:SALERNO,1,25:06:00,25:06:00,0,0
TI_505_20260330,TI:GENOVA_PIAZZA_PRINCIPE,0,08:53:00,08:53:00,0,0
TI_505_20260330,TI:ROMA_TERMINI,1,14:48:00,14:48:00,0,0
TI_861_20260330,TI:ROMA_TERMINI,0,16:26:00,16:26:00,0,0
TI_861_20260330,TI:SALERNO,1,19:32:00,19:32:00,0,0
TI_9611_20260330,TI:TORINO_PORTA_NUOVA,0,06:40:00,06:40:00,0,0
TI_9611_20260330,TI:NAPOLI_CENTRALE,1,12:33:00,12:33:00,0,0
TI_9519_20260330,TI:TORINO_PORTA_NUOVA,0,06:50:00,06:50:00,0,0
TI_9519_20260330,TI:SALERNO,1,14:06:00,14:06:00,0,0
TI_9583_20260330,TI:TORINO_PORTA_NUOVA,0,07:50:00,07:50:00,0,0
TI_9583_20260330,TI:SALERNO,1,15:03:00,15:03:00,0,0
TI_9311_20260330,TI:TORINO_PORTA_NUOVA,0,08:35:00,08:35:00,0,0
TI_9311_20260330,TI:NAPOLI_CENTRALE,1,15:03:00,15:03:00,0,0
TI_9805_20260330,TI:TORINO_PORTA_NUOVA,0,09:00:00,09:00:00,0,0
TI_9805_20260330,TI:BOLOGNA_CENTRALE,1,11:42:00,11:42:00,0,0
TI_9623_20260330,TI:BOLOGNA_CENTRALE,0,12:07:00,12:07:00,0,0
TI_9623_20260330,TI:SALERNO,1,16:14:00,16:14:00,0,0
TI_9587_20260330,TI:TORINO_PORTA_NUOVA,0,09:50:00,09:50:00,0,0
TI_9587_20260330,TI:MILANO_CENTRALE,1,11:02:00,11:02:00,0,0
TI_9625_20260330,TI:MILANO_CENTRALE,0,11:25:00,11:25:00,0,0
TI_9625_20260330,TI:NAPOLI_CENTRALE,1,16:03:00,16:03:00,0,0
TI_511_20260330,TI:TORINO_PORTA_NUOVA,0,10:40:00,10:40:00,0,0
TI_511_20260330,TI:SALERNO,1,21:24:00,21:24:00,0,0
TI_9535_20260330,TI:TORINO_PORTA_NUOVA,0,10:55:00,10:55:00,0,0
TI_9535_20260330,TI:BOLOGNA_CENTRALE,1,13:24:00,13:24:00,0,0
TI_8419_20260330,TI:BOLOGNA_CENTRALE,0,14:02:00,14:02:00,0,0
TI_8419_20260330,TI:SALERNO,1,18:09:00,18:09:00,0,0
TI_505_20260331,TI:GENOVA_PIAZZA_PRINCIPE,0,08:53:00,08:53:00,0,0
TI_505_20260331,TI:ROMA_TERMINI,1,14:48:00,14:48:00,0,0
TI_861_20260331,TI:ROMA_TERMINI,0,16:26:00,16:26:00,0,0
TI_861_20260331,TI:SALERNO,1,19:32:00,19:32:00,0,0
TI_9611_20260331,TI:TORINO_PORTA_NUOVA,0,06:40:00,06:40:00,0,0
TI_9611_20260331,TI:NAPOLI_CENTRALE,1,12:33:00,12:33:00,0,0
TI_9519_20260331,TI:TORINO_PORTA_NUOVA,0,06:50:00,06:50:00,0,0
TI_9519_20260331,TI:SALERNO,1,14:06:00,14:06:00,0,0
TI_9583_20260331,TI:TORINO_PORTA_NUOVA,0,07:50:00,07:50:00,0,0
TI_9583_20260331,TI:SALERNO,1,15:03:00,15:03:00,0,0
TI_9311_20260331,TI:TORINO_PORTA_NUOVA,0,08:35:00,08:35:00,0,0
TI_9311_20260331,TI:NAPOLI_CENTRALE,1,15:03:00,15:03:00,0,0
TI_9805_20260331,TI:TORINO_PORTA_NUOVA,0,09:00:00,09:00:00,0,0
TI_9805_20260331,TI:BOLOGNA_CENTRALE,1,11:42:00,11:42:00,0,0
TI_9623_20260331,TI:BOLOGNA_CENTRALE,0,12:07:00,12:07:00,0,0
TI_9623_20260331,TI:SALERNO,1,16:14:00,16:14:00,0,0
TI_9587_20260331,TI:TORINO_PORTA_NUOVA,0,09:50:00,09:50:00,0,0
TI_9587_20260331,TI:MILANO_CENTRALE,1,11:02:00,11:02:00,0,0
TI_9625_20260331,TI:MILANO_CENTRALE,0,11:25:00,11:25:00,0,0
TI_9625_20260331,TI:NAPOLI_CENTRALE,1,16:03:00,16:03:00,0,0
TI_511_20260331,TI:TORINO_PORTA_NUOVA,0,10:40:00,10:40:00,0,0
TI_511_20260331,TI:SALERNO,1,21:24:00,21:24:00,0,0
TI_9535_20260331,TI:TORINO_PORTA_NUOVA,0,10:55:00,10:55:00,0,0
TI_9535_20260331,TI:BOLOGNA_CENTRALE,1,13:24:00,13:24:00,0,0
TI_8419_20260331,TI:BOLOGNA_CENTRALE,0,14:02:00,14:02:00,0,0
TI_8419_20260331,TI:SALERNO,1,18:09:00,18:09:00,0,0
TI_505_20260401,TI:GENOVA_PIAZZA_PRINCIPE,0,08:53:00,08:53:00,0,0
TI_505_20260401,TI:ROMA_TERMINI,1,14:48:00,14:48:00,0,0
TI_861_20260401,TI:ROMA_TERMINI,0,16:26:00,16:26:00,0,0
TI_861_20260401,TI:SALERNO,1,19:32:00,19:32:00,0,0
