route_id,service_id,trip_id,trip_headsign,direction_id
TI_ROUTE_IC,20260329,TI_505_20260329,Roma Termini,0
TI_ROUTE_IC,20260329,TI_561_20260329,Salerno,0
TI_ROUTE_FR,20260329,TI_9611_20260329,Napoli Centrale,0
TI_ROUTE_FR,20260329,TI_9519_20260329,Salerno,0
TI_ROUTE_FR,20260329,TI_9583_20260329,Salerno,0
TI_ROUTE_FR,20260329,TI_9311_20260329,Bologna Centrale,0
TI_ROUTE_FR,20260329,TI_9527_20260329,Salerno,0
TI_ROUTE_FR,20260329,TI_9805_20260329,Bologna Centrale,0
TI_ROUTE_FR,20260329,TI_9623_20260329,Salerno,0
TI_ROUTE_FR,20260329,TI_9587_20260329,Salerno,0
TI_ROUTE_IC,20260329,TI_511_20260329,Caserta,0
TI_ROUTE_IC,20260329,TI_37261_20260329,Salerno,0
TI_ROUTE_IC,20260330,TI_505_20260330,Roma Termini,0
TI_ROUTE_IC,20260330,TI_861_20260330,Salerno,0
TI_ROUTE_FR,20260330,TI_9611_20260330,Napoli Centrale,0
TI_ROUTE_FR,20260330,TI_9519_20260330,Salerno,0
TI_ROUTE_FR,20260330,TI_9583_20260330,Salerno,0
TI_ROUTE_FR,20260330,TI_9311_20260330,Napoli Centrale,0
TI_ROUTE_FR,20260330,TI_9805_20260330,Bologna Centrale,0
TI_ROUTE_FR,20260330,TI_9623_20260330,Salerno,0
TI_ROUTE_FR,20260330,TI_9587_20260330,Milano Centrale,0
TI_ROUTE_FR,20260330,TI_9625_20260330,Napoli Centrale,0
TI_ROUTE_IC,20260330,TI_511_20260330,Salerno,0
TI_ROUTE_FR,20260330,TI_9535_20260330,Bologna Centrale,0
TI_ROUTE_FR,20260330,TI_8419_20260330,Salerno,0
TI_ROUTE_IC,20260331,TI_505_20260331,Roma Termini,0
TI_ROUTE_IC,20260331,TI_861_20260331,Salerno,0
TI_ROUTE_FR,20260331,TI_9611_20260331,Napoli Centrale,0
TI_ROUTE_FR,20260331,TI_9519_20260331,Salerno,0
TI_ROUTE_FR,20260331,TI_9583_20260331,Salerno,0
TI_ROUTE_FR,20260331,TI_9311_20260331,Napoli Centrale,0
TI_ROUTE_FR,20260331,TI_9805_20260331,Bologna Centrale,0
TI_ROUTE_FR,20260331,TI_9623_20260331,Salerno,0
TI_ROUTE_FR,20260331,TI_9587_20260331,Milano Centrale,0
TI_ROUTE_FR,20260331,TI_9625_20260331,Napoli Centrale,0
TI_ROUTE_IC,20260331,TI_511_20260331,Salerno,0
TI_ROUTE_FR,20260331,TI_9535_20260331,Bologna Centrale,0
TI_ROUTE_FR,20260331,TI_8419_20260331,Salerno,0
TI_ROUTE_IC,20260401,TI_505_20260401,Roma Termini,0
TI_ROUTE_IC,20260401,TI_861_20260401,Salerno,0
TI_ROUTE_FR,20260401,TI_9611_20260401,Napoli Centrale,0
TI_ROUTE_FR,20260401,TI_9519_20260401,Salerno,0
TI_ROUTE_FR,20260401,TI_9583_20260401,Salerno,0
TI_ROUTE_FR,20260401,TI_9311_20260401,Napoli Centrale,0
TI_ROUTE_FR,20260401,TI_9805_20260401,Bologna Centrale,0
TI_ROUTE_FR,20260401,TI_9623_20260401,Salerno,0
TI_ROUTE_FR,20260401,TI_9587_20260401,Milano Centrale,0
TI_ROUTE_FR,20260401,TI_9625_20260401,Napoli Centrale,0
TI_ROUTE_IC,20260401,TI_511_20260401,Salerno,0
TI_ROUTE_FR,20260401,TI_9535_20260401,Bologna Centrale,0
TI_ROUTE_FR,20260401,TI_8419_20260401,Salerno,0
TI_ROUTE_IC,20260402,TI_505_20260402,Roma Termini,0
TI_ROUTE_IC,20260402,TI_861_20260402,Salerno,0
TI_ROUTE_FR,20260402,TI_9611_20260402,Napoli Centrale,0
TI_ROUTE_FR,20260402,TI_9519_20260402,Salerno,0
TI_ROUTE_FR,20260402,TI_9583_20260402,Salerno,0
TI_ROUTE_FR,20260402,TI_9311_20260402,Napoli Centrale,0
TI_ROUTE_FR,20260402,TI_9805_20260402,Bologna Centrale,0
TI_ROUTE_FR,20260402,TI_9623_20260402,Salerno,0
TI_ROUTE_FR,20260402,TI_9587_20260402,Milano Centrale,0
TI_ROUTE_FR,20260402,TI_9625_20260402,Napoli Centrale,0
TI_ROUTE_IC,20260402,TI_511_20260402,Salerno,0
TI_ROUTE_FR,20260402,TI_9535_20260402,Bologna Centrale,0
TI_ROUTE_FR,20260402,TI_8419_20260402,Salerno,0
TI_ROUTE_IC,20260403,TI_505_20260403,Roma Termini,0
TI_ROUTE_IC,20260403,TI_861_20260403,Salerno,0
TI_ROUTE_FR,20260403,TI_9611_20260403,Napoli Centrale,0
TI_ROUTE_FR,20260403,TI_9519_20260403,Salerno,0
TI_ROUTE_FR,20260403,TI_9583_20260403,Salerno,0
TI_ROUTE_FR,20260403,TI_9311_20260403,Napoli Centrale,0
TI_ROUTE_FR,20260403,TI_9805_20260403,Bologna Centrale,0
TI_ROUTE_FR,20260403,TI_9623_20260403,Salerno,0
TI_ROUTE_FR,20260403,TI_9587_20260403,Milano Centrale,0
TI_ROUTE_FR,20260403,TI_9625_20260403,Napoli Centrale,0
TI_ROUTE_IC,20260403,TI_511_20260403,Salerno,0
TI_ROUTE_FR,20260403,TI_9535_20260403,Bologna Centrale,0
TI_ROUTE_FR,20260403,TI_8419_20260403,Salerno,0
TI_ROUTE_IC,20260404,TI_505_20260404,Roma Termini,0
TI_ROUTE_IC,20260404,TI_561_20260404,Salerno,0
TI_ROUTE_FR,20260404,TI_9611_20260404,Napoli Centrale,0
TI_ROUTE_FR,20260404,TI_9519_20260404,Salerno,0
TI_ROUTE_FR,20260404,TI_9583_20260404,Salerno,0
TI_ROUTE_FR,20260404,TI_9311_20260404,Napoli Centrale,0
TI_ROUTE_FR,20260404,TI_9805_20260404,Bologna Centrale,0
TI_ROUTE_FR,20260404,TI_9623_20260404,Salerno,0
TI_ROUTE_FR,20260404,TI_9587_20260404,Salerno,0
TI_ROUTE_IC,20260404,TI_511_20260404,Salerno,0
TI_ROUTE_IC,20260404,TI_597_20260404,Salerno,0
TI_ROUTE_FR,20260404,TI_9535_20260404,Bologna Centrale,0
TI_ROUTE_FR,20260404,TI_8419_20260404,Salerno,0
TI_ROUTE_FR,20260329,TI_9490_20260329,Roma Termini,0
TI_ROUTE_FR,20260329,TI_9308_20260329,Torino Porta Nuova,0
TI_ROUTE_FR,20260329,TI_9524_20260329,Roma Termini,0
TI_ROUTE_FR,20260329,TI_9626_20260329,Torino Porta Nuova,0
TI_ROUTE_FR,20260329,TI_9310_20260329,Roma Termini,0
TI_ROUTE_IC,20260329,TI_590_20260329,Pisa Centrale,0
TI_ROUTE_IC,20260329,TI_684_20260329,Genova Piazza Principe,0
TI_ROUTE_FR,20260329,TI_9514_20260329,Torino Porta Nuova,0
TI_ROUTE_FR,20260329,TI_8418_20260329,Roma Termini,0
TI_ROUTE_FR,20260329,TI_9532_20260329,Torino Porta Nuova,0
TI_ROUTE_FR,20260329,TI_9584_20260329,Torino Porta Nuova,0
TI_ROUTE_FR,20260329,TI_9642_20260329,Torino Porta Nuova,0
TI_ROUTE_FR,20260329,TI_9588_20260329,Torino Porta Nuova,0
TI_ROUTE_FR,20260330,TI_9616_20260330,Milano Centrale,0
TI_ROUTE_FR,20260330,TI_9516_20260330,Torino Porta Nuova,0
TI_ROUTE_FR,20260330,TI_9490_20260330,Roma Termini,0
TI_ROUTE_FR,20260330,TI_9308_20260330,Torino Porta Nuova,0
TI_ROUTE_IC,20260330,TI_510_20260330,Napoli Centrale,0
TI_ROUTE_FR,20260330,TI_9520_20260330,Roma Termini,0
TI_ROUTE_FR,20260330,TI_9524_20260330,Roma Termini,0
TI_ROUTE_FR,20260330,TI_9626_20260330,Torino Porta Nuova,0
TI_ROUTE_FR,20260330,TI_9310_20260330,Roma Termini,0
TI_ROUTE_IC,20260330,TI_590_20260330,Milano Centrale,0
TI_ROUTE_FR,20260330,TI_9514_20260330,Torino Porta Nuova,0
TI_ROUTE_FR,20260331,TI_9616_20260331,Milano Centrale,0
TI_ROUTE_FR,20260331,TI_9516_20260331,Torino Porta Nuova,0
TI_ROUTE_FR,20260331,TI_9490_20260331,Roma Termini,0
TI_ROUTE_FR,20260331,TI_9308_20260331,Torino Porta Nuova,0
TI_ROUTE_IC,20260331,TI_510_20260331,Napoli Centrale,0
TI_ROUTE_FR,20260331,TI_9520_20260331,Roma Termini,0
TI_ROUTE_FR,20260331,TI_9524_20260331,Roma Termini,0
TI_ROUTE_FR,20260331,TI_9626_20260331,Torino Porta Nuova,0
TI_ROUTE_FR,20260331,TI_9310_20260331,Roma Termini,0
TI_ROUTE_IC,20260331,TI_590_20260331,Milano Centrale,0
TI_ROUTE_FR,20260331,TI_9514_20260331,Torino Porta Nuova,0
TI_ROUTE_FR,20260401,TI_9616_20260401,Milano Centrale,0
TI_ROUTE_FR,20260401,TI_9516_20260401,Torino Porta Nuova,0
TI_ROUTE_FR,20260401,TI_9490_20260401,Roma Termini,0
TI_ROUTE_FR,20260401,TI_9308_20260401,Torino Porta Nuova,0
TI_ROUTE_IC,20260401,TI_510_20260401,Napoli Centrale,0
TI_ROUTE_FR,20260401,TI_9520_20260401,Roma Termini,0
TI_ROUTE_FR,20260401,TI_9524_20260401,Roma Termini,0
TI_ROUTE_FR,20260401,TI_9626_20260401,Torino Porta Nuova,0
TI_ROUTE_FR,20260401,TI_9310_20260401,Roma Termini,0
TI_ROUTE_IC,20260401,TI_590_20260401,Milano Centrale,0
TI_ROUTE_FR,20260401,TI_9514_20260401,Torino Porta Nuova,0
TI_ROUTE_FR,20260402,TI_9616_20260402,Milano Centrale,0
TI_ROUTE_FR,20260402,TI_9516_20260402,Torino Porta Nuova,0
TI_ROUTE_FR,20260402,TI_9490_20260402,Roma Termini,0
TI_ROUTE_FR,20260402,TI_9308_20260402,Torino Porta Nuova,0
TI_ROUTE_IC,20260402,TI_510_20260402,Napoli Centrale,0
TI_ROUTE_FR,20260402,TI_9520_20260402,Roma Termini,0
TI_ROUTE_FR,20260402,TI_9524_20260402,Roma Termini,0
TI_ROUTE_FR,20260402,TI_9626_20260402,Torino Porta Nuova,0
TI_ROUTE_FR,20260402,TI_9310_20260402,Roma Termini,0
TI_ROUTE_IC,20260402,TI_590_20260402,Milano Centrale,0
TI_ROUTE_FR,20260402,TI_9514_20260402,Torino Porta Nuova,0
TI_ROUTE_FR,20260403,TI_9616_20260403,Milano Centrale,0
TI_ROUTE_FR,20260403,TI_9516_20260403,Torino Porta Nuova,0
TI_ROUTE_FR,20260403,TI_9490_20260403,Roma Termini,0
TI_ROUTE_FR,20260403,TI_9308_20260403,Torino Porta Nuova,0
TI_ROUTE_IC,20260403,TI_510_20260403,Napoli Centrale,0
TI_ROUTE_FR,20260403,TI_9520_20260403,Roma Termini,0
TI_ROUTE_FR,20260403,TI_9524_20260403,Roma Termini,0
TI_ROUTE_FR,20260403,TI_9626_20260403,Torino Porta Nuova,0
TI_ROUTE_FR,20260403,TI_9310_20260403,Roma Termini,0
TI_ROUTE_IC,20260403,TI_590_20260403,Milano Centrale,0
TI_ROUTE_FR,20260403,TI_9514_20260403,Torino Porta Nuova,0
TI_ROUTE_FR,20260404,TI_9616_20260404,Milano Centrale,0
TI_ROUTE_FR,20260404,TI_9516_20260404,Torino Porta Nuova,0
TI_ROUTE_FR,20260404,TI_9490_20260404,Roma Termini,0
TI_ROUTE_FR,20260404,TI_9308_20260404,Torino Porta Nuova,0
TI_ROUTE_IC,20260404,TI_510_20260404,Napoli Centrale,0
TI_ROUTE_FR,20260404,TI_9520_20260404,Roma Termini,0
